#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
1425,J1734-2415,*,264.233,-0.943,*,*,2.678,4.551,0.27,0.16,5.07,*,2006,*,*,9.24E+06,
1426,J1734-3058,*,264.563,-7.657,*,*,357.031,0.893,0.06,-0.19,4.77,*,2015,*,*,5.29E+08,
1427,J1734-3333,*,264.594,-10.236,*,*,354.819,-0.433,-0.03,-0.4,4.06,*,2002,HE[oklk10],*,8.13E+03,
1428,J1735-0243,*,263.544,20.574,*,*,21.564,15.448,0.27,0.35,7.6,*,2013,*,*,1.96E+07,
1429,B1732-07,0.15,263.577,15.886,*,*,17.271,13.284,1.53,1.93,2.3,*,1976,*,*,5.47E+06,
1430,J1735-3258,*,264.886,-9.639,*,*,355.479,-0.381,-0.03,-0.39,3.55,*,2002,*,*,2.13E+05,
1431,J1735+63,*,228.043,85.823,*,*,92.701,32.554,13.45,21.05,9.49,*,2019,*,*,*,
1432,J1736+05,*,263.421,29.107,*,*,29.592,19.208,0.82,1.16,6.46,*,1996,*,*,*,
1433,J1736-2457,*,264.732,-1.631,*,*,2.331,3.775,0.3,0.18,4.01,*,2006,*,*,1.22E+07,
1434,J1736-2819,*,264.791,-4.996,*,*,359.446,2.036,0.21,-0.06,2.49,*,2004,*,*,1.69E+06,
1435,J1736-2843,*,264.874,-5.395,*,*,359.142,1.764,0.32,-0.16,-1.9,*,2004,*,*,3.40E+06,
1436,J1736-3511,*,265.002,-11.863,*,*,353.614,-1.598,-0.07,-0.29,5.89,*,2003,*,*,5.07E+06,
1437,J1737-0811,*,264.305,15.144,*,*,16.933,12.318,0.04,0.06,8.3,*,2013,*,*,8.34E+09,
1438,J1737-3102,*,265.152,-7.689,*,*,357.298,0.373,0.02,-0.17,4.9,*,2002,*,*,3.26E+05,
1439,J1737-3137,*,265.07,-8.281,*,*,356.744,0.145,0.01,-0.24,4.35,*,2002,*,3,5.14E+04,
1440,J1737-3320,*,265.162,-9.995,*,*,355.308,-0.795,-0.19,-1.09,-4.83,*,2004,*,*,5.75E+06,
1441,B1734-35,*,265.37,-12.579,*,*,353.175,-2.268,-0.1,-0.3,6.03,*,1992,*,*,1.03E+06,
1442,J1738+0333,0.68,264.095,26.884,6.85,5.4,27.721,17.742,0.45,0.65,7.26,OPT:[avk+12],2005,*,*,3.84E+09,
1443,J1738+04,*,263.923,27.659,*,*,28.392,18.207,0.34,0.49,7.6,*,2016,*,*,*,
1444,J1738-2330,*,264.991,-0.169,*,*,3.731,4.28,0.21,0.19,5.64,*,2006,*,*,3.66E+06,
1445,J1738-2647,*,265.102,-3.45,*,*,0.94,2.544,0.18,0.07,4.37,*,2004,*,*,1.76E+06,
1446,J1738-2736,*,265.168,-4.259,*,*,0.272,2.081,0.44,0.06,-3.48,*,2015,*,*,2.15E+06,
1447,J1738-2955,*,265.393,-6.576,*,*,358.38,0.724,0.04,-0.1,5.04,*,2002,*,*,8.58E+04,
1448,J1738-3107,*,265.421,-7.774,*,*,357.358,0.1,0.01,-0.22,3.72,*,2004,*,*,2.94E+07,
1449,B1735-32,*,265.485,-8.842,-3,*,356.466,-0.491,-0.01,-0.08,7.23,*,1987,*,*,1.53E+07,
1450,J1738-3316,*,265.455,-9.912,*,*,355.525,-1.003,-0.07,-0.29,4.75,*,2004,*,*,1.31E+08,
1451,J1739+0612,*,264.084,29.541,*,*,30.261,18.858,8.08,11.92,-11.93,*,2009,*,*,2.37E+07,
1452,J1739-1313,*,265.047,10.131,*,*,12.794,9.297,0.12,0.16,7.8,*,2001,*,*,2.36E+08,
1453,J1739-2521,*,265.377,-2.008,*,*,2.327,3.027,0.23,0.18,4.1,*,2017,RRAT,*,1.20E+08,
1454,B1736-29,*,265.515,-5.691,*,*,359.206,1.064,0.05,-0.04,5.59,*,1986,*,1,6.50E+05,
1455,J1739-3023,*,265.582,-7.025,*,*,358.086,0.336,0.02,-0.1,5.43,*,2002,HE[lsg+15],*,1.59E+05,
1456,J1739-3049,*,265.538,-7.468,*,*,357.68,0.152,0.01,-0.18,4.12,*,2002,*,*,1.74E+06,
1457,B1736-31,*,265.568,-8.161,*,*,357.096,-0.22,-0.02,-0.22,4.1,*,1986,*,*,4.51E+05,
1458,J1739-3159,*,265.672,-8.633,*,*,356.739,-0.547,-0.04,-0.22,4.72,*,2002,*,*,7.05E+07,
1459,J1739-3951,*,265.927,-16.499,*,*,350.039,-4.69,-0.06,-0.13,7.73,*,2006,*,*,2.73E+08,
1460,J1740+1000,*,264.23,33.343,*,*,34.011,20.268,0.43,0.65,7.54,GRS:[sbc+19],2000,HE[sbc+19],1,1.14E+05,
1461,B1737+13,*,263.975,36.534,*,*,37.085,21.679,1.54,2.34,5.4,*,1978,*,*,8.77E+06,
1462,J1740-2540,*,265.661,-2.305,*,*,2.212,2.633,0.69,0.58,-6.53,*,2004,*,*,1.45E+07,
1463,J1740+27,*,263.171,50.54,*,*,51.439,26.72,1.58,2.45,6.55,*,2019,*,*,*,
1464,B1737-30,*,265.774,-6.894,*,*,358.294,0.238,0,-0.01,8.1,*,1986,*,36,2.06E+04,
1465,J1740-3052,*,265.853,-7.498,*,*,357.811,-0.132,-0.01,-0.18,3.75,OPT:[bbn+11],2001,*,*,3.54E+05,
1466,J1740-3327,*,265.856,-10.096,*,*,355.564,-1.436,-0.11,-0.32,4.32,*,2004,*,*,2.09E+06,
1467,J1740-5340A,*,266.7,-30.294,*,*,338.165,-11.967,-0.46,-0.8,6.5,GC:NGC6397&OPT:[fpds01]&XRS:[ghe+01],2001,*,*,3.44E+08,
1468,B1738-08,0.28,265.242,14.687,*,*,16.955,11.304,0.7,1.02,5.15,*,1978,*,*,1.42E+07,
1469,J1741+1351,0.93,264.365,37.211,-8.67,-7.77,37.885,21.641,0.4,0.61,7.71,*,2007,HE[egc+13],*,1.96E+09,
1470,J1741-2019,*,265.567,3.043,*,*,6.815,5.377,0.24,0.3,5.98,*,2001,*,*,3.80E+06,
1471,J1741-2054,*,265.782,2.47,*,*,6.422,4.907,0.03,0.03,8.2,GRS:2FGL_J1741.9-2054[naa+12]&XRS:Swift_,2009,HE,*,3.86E+05,
1472,J1741-2719,*,265.901,-3.949,*,*,0.907,1.604,0.32,0.18,-3.05,*,2006,*,*,6.82E+07,
1473,J1741-2733,*,265.784,-4.194,*,*,0.636,1.582,0.08,0.03,5.43,*,2002,*,*,9.59E+07,
1474,J1741+2758,*,263.597,51.308,*,*,52.347,26.663,1.13,1.78,7.12,*,1995,*,*,1.17E+07,
1475,J1741-2945,*,265.904,-6.387,*,*,358.798,0.38,0.02,-0.08,4.79,*,2002,*,*,5.58E+06,
1476,J1741-3016,*,265.895,-6.903,*,*,358.346,0.13,0.01,-0.11,4.63,*,2002,*,*,3.34E+06,
1477,J1741-34,*,266.195,-10.937,*,*,355.002,-2.146,-0.17,-0.4,3.97,*,2015,*,*,*,
1478,J1741+38,*,262.139,62.211,*,*,64.271,29.69,12.38,19.56,-0.93,*,2019,*,*,*,
1479,B1737-39,*,266.245,-16.082,*,*,350.555,-4.749,-0.38,-0.76,3.96,*,1978,*,*,4.74E+06,
1480,J1742-3957,*,266.417,-16.573,*,*,350.209,-5.135,-0.72,-1.37,0.59,*,2006,*,*,1.97E+08,
1481,J1742-4616,*,266.707,-22.892,*,*,344.79,-8.462,-0.84,-1.48,3.07,*,2001,*,*,1.93E+08,
1482,B1740-03,*,265.53,19.721,*,*,21.649,13.4,0.05,0.07,8.32,*,1978,*,*,4.53E+06,
1483,J1743+05,*,265.244,28.854,*,*,30.045,17.651,1.2,1.88,5.24,*,2016,*,*,*,
1484,B1740-13,*,265.971,9.521,*,*,12.699,8.205,0.5,0.76,5.12,*,1985,*,*,1.34E+07,
1485,J1743-2442,*,266.215,-1.331,*,*,3.333,2.64,0.3,0.38,2.03,*,2004,*,*,4.17E+07,
1486,B1740-31,*,266.482,-8.45,*,*,357.299,-1.148,-0.07,-0.16,5.17,*,1992,*,1,3.17E+05,
1487,J1743-3153,*,266.408,-8.498,*,*,357.221,-1.109,-0.17,-0.43,-0.31,*,2002,*,*,2.90E+05,
1488,J1743-35,*,266.484,-12.146,*,*,354.095,-2.994,-0.21,-0.41,4.52,*,2015,*,*,*,
1489,J1743-4212,*,266.692,-18.81,*,*,348.381,-6.464,-0.56,-1,3.62,*,2001,*,*,6.19E+06,
1490,J1744-1134,2.53,266.119,11.805,*,*,14.794,9.18,0.06,0.1,8.12,GRS:2FGL_J1744.6-1135[naa+12],1997,HE[aaa+09f],*,7.23E+09,
1491,J1744-1610,*,266.195,7.211,*,*,10.773,6.885,0.23,0.36,6.63,*,2001,*,*,1.17E+07,
1492,J1744-2335,*,266.52,-0.205,*,*,4.463,2.937,0.14,0.21,5.79,*,1998,*,*,3.20E+07,
1493,J1744-3130,*,266.576,-8.109,*,*,357.641,-1.059,-0.06,-0.14,5.2,*,2002,*,*,7.96E+05,
1494,J1744-3922,*,266.793,-15.978,*,*,350.908,-5.155,-0.41,-0.71,4.04,*,2004,*,*,1.76E+09,
1495,J1744-5337,*,267.367,-30.227,*,*,338.499,-12.447,-1.89,-3.14,0.52,*,2012,*,*,2.97E+07,
1496,J1744-7619,*,268.434,-52.903,*,*,317.108,-22.459,0,0,8.5,GRS:3FGL_J1744.1-7619[aaa+15],2018,NRAD[cpw+18],*,7.67E+09,
1497,J1745-0129,*,265.969,21.899,*,*,23.838,14.025,1.33,2.16,3.62,*,2001,*,*,2.62E+07,
1498,J1745-0952,*,266.239,13.513,*,*,16.371,9.895,0.04,0.06,8.28,*,2001,*,*,3.32E+09,
1499,J1745+1017,*,265.732,33.684,*,*,34.869,19.254,0.4,0.65,7.56,GRS:2FGL_J1745.6+1015,2013,HE,*,1.54E+10,
1500,J1745+12,*,265.677,36.236,*,*,37.344,20.298,4.01,6.58,-0.13,*,2019,*,*,*,
1501,J1745-2229,*,266.599,0.909,*,*,5.47,3.422,0.93,1.48,-6.96,*,2004,*,*,6.44E+06,
1502,J1745-2900,*,266.852,-5.608,*,*,359.944,-0.047,-0.01,-0.01,0.2,AXP:SGR_J1745-29[kbk+13],2013,AXP&HE,*,3.40E+03,
1503,J1745-2910,*,266.768,-5.769,*,*,359.763,-0.054,-0.01,-0.03,0.53,*,2009,*,*,*,
1504,J1745-2912,*,266.885,-5.808,*,*,359.788,-0.175,-0.02,-0.03,0.39,*,2006,*,*,*,
1505,B1742-30,*,266.952,-7.271,*,*,358.553,-0.963,0,-0.01,8.3,*,1973,*,*,5.46E+05,
1506,J1745-3812,*,267.005,-14.801,*,*,352.036,-4.751,-0.4,-0.66,3.76,*,2012,*,*,4.56E+06,
1507,J1745+42,*,263.533,66.243,*,*,68.962,29.639,2.79,4.58,6.74,*,2019,*,*,*,
1508,J1746+2245,*,265.344,46.141,*,*,47.252,24.048,2.78,4.58,4.27,*,2005,*,*,1.12E+07,
1509,J1746+2540,*,265.223,49.059,*,*,50.274,25.031,10.58,17.42,-5.98,*,1995,*,*,1.60E+07,
1510,J1746-27,*,266.896,-4.448,*,*,0.971,0.494,0.04,0.07,4.35,*,2015,*,*,*,
1511,J1746-2849,*,266.933,-5.435,*,*,0.134,-0.03,0,0.02,0.28,*,2009,*,*,1.84E+06,
1512,J1746-2850,*,266.945,-5.443,*,*,0.134,-0.044,0,0.01,2.89,*,2009,*,*,1.27E+04,
1513,J1746-2856,*,267.106,-5.543,*,*,0.126,-0.233,-0.03,0.02,0.35,*,2006,*,*,1.20E+06,
1514,J1746-3239,*,267.21,-9.258,*,*,356.957,-2.175,0,0,8.5,GRS:2FGL_J1746.5-3238[naa+12],2012,NRAD,*,4.82E+05,
1515,J1747-1030,*,266.967,12.906,*,*,16.174,8.983,0.39,0.69,6.12,*,2012,*,*,5.82E+07,
1516,J1747-2647,*,267.209,-3.378,*,*,2.054,0.758,0.08,0.22,2.36,*,2009,*,*,5.99E+05,
1517,J1747-2802,*,267.22,-4.635,*,*,0.971,0.121,0.01,0.09,3.35,*,2002,*,*,1.86E+07,
1518,J1747-2809,*,267.209,-4.745,*,*,0.869,0.076,0.01,0.12,0.36,XRS:CXOU_J174722.8-280915&SNR:G0.9+0.1,2009,*,*,5.31E+03,
1519,J1747-2958,*,267.224,-6.558,*,*,359.305,-0.841,-0.04,-0.03,5.98,PWN:G359.23-0.82[gvc+04]&GRS:1AGL_J1746-,2002,*,*,2.55E+04,
1520,J1747-4036,*,267.579,-17.202,-1.3,-2,350.208,-6.412,-0.8,-1.21,1.5,GRS:3FGL_J1747.6-4037[aaa+15],2012,HE,*,1.98E+09,
1521,B1745-12,*,267.1,10.395,3,*,14.016,7.656,0.32,0.58,6.19,*,1978,*,*,5.15E+06,
1522,B1745-20A,*,267.39,3.053,*,*,7.728,3.801,0.55,1.11,0.35,GC:NGC6440,1989,*,*,1.15E+07,
1523,J1748-2021B,*,267.391,3.053,*,*,7.729,3.8,0.55,1.11,0.35,GC:NGC6440,2008,*,*,*,
1524,J1748-2021C,*,267.384,3.049,*,*,7.721,3.804,0.55,1.1,0.35,GC:NGC6440,2008,*,*,*,
1525,J1748-2021D,*,267.385,3.062,*,*,7.734,3.809,0.55,1.11,0.35,GC:NGC6440,2008,*,*,3.64E+08,
1526,J1748-2021E,*,267.39,3.056,*,*,7.731,3.802,0.55,1.11,0.35,GC:NGC6440,2008,*,*,8.25E+08,
1527,J1748-2021F,*,267.388,3.053,*,*,7.727,3.802,0.55,1.11,0.35,GC:NGC6440,2008,*,*,*,
1528,J1748-2444,*,267.459,-1.329,*,*,3.955,1.564,0.11,0.27,4.66,*,1990,*,*,6.30E+07,
1529,B1744-24A,*,267.284,-1.366,*,*,3.836,1.696,0.16,0.37,3.01,GC:Ter5,1990,*,*,*,
1530,J1748-2446aa,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1531,J1748-2446ab,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1532,J1748-2446ac,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1533,J1748-2446ad,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2006,*,*,*,
1534,J1748-2446ae,*,267.294,-1.368,*,*,3.839,1.687,0.13,0.29,4.11,GC:Ter5,2008,*,*,*,
1535,J1748-2446af,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1536,J1748-2446ag,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1537,J1748-2446ah,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1538,J1748-2446ai,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1539,J1748-2446aj,*,267.295,-1.365,*,*,3.842,1.688,0.13,0.29,4.11,*,2018,*,*,3.32E+08,
1540,J1748-2446ak,*,267.29,-1.366,*,*,3.839,1.692,0.13,0.29,4.13,*,2018,*,*,3.38E+08,
1541,J1748-2446al,*,267.275,-1.356,*,*,3.841,1.709,0.13,0.29,4.11,*,2018,*,*,*,
1542,J1748-2446C,*,267.293,-1.365,*,*,3.841,1.689,0.16,0.37,3.01,GC:Ter5,2000,*,*,*,
1543,J1748-2446D,*,267.294,-1.368,*,*,3.839,1.687,0.26,0.58,-0.18,GC:Ter5,2005,*,*,*,
1544,J1748-2446E,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1545,J1748-2446F,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1546,J1748-2446G,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1547,J1748-2446H,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1548,J1748-2446I,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1549,J1748-2446J,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1550,J1748-2446K,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1551,J1748-2446L,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1552,J1748-2446M,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1553,J1748-2446N,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1554,J1748-2446O,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1555,J1748-2446P,*,267.294,-1.368,*,*,3.839,1.687,0.13,0.29,4.11,GC:Ter5,2005,*,*,*,
1556,J1748-2446Q,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1557,J1748-2446R,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1558,J1748-2446S,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1559,J1748-2446T,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1560,J1748-2446U,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1561,J1748-2446V,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1562,J1748-2446W,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1563,J1748-2446X,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1564,J1748-2446Y,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2005,*,*,*,
1565,J1748-2446Z,*,267.294,-1.368,*,*,3.839,1.687,0.16,0.37,3.01,GC:Ter5,2008,*,*,*,
1566,J1748-30,*,267.391,-6.871,*,*,359.117,-1.141,-0.28,-0.21,-5.32,*,2015,*,*,*,
1567,J1748-3009,*,267.474,-6.74,*,*,359.272,-1.147,-0.1,-0.06,3.45,*,2013,*,*,*,
1568,J1749+16,*,266.716,39.809,*,*,41.208,20.9,2.63,4.54,3.31,*,2016,*,*,*,
1569,J1749-2347,*,267.543,-0.372,*,*,4.828,1.967,0.43,1.06,-4.1,*,2004,*,*,5.72E+06,
1570,J1749-2629,*,267.577,-3.07,*,*,2.505,0.593,0.04,0.18,4.3,*,2002,*,*,1.23E+07,
1571,B1746-30,*,267.653,-6.626,*,*,359.459,-1.244,-0.28,-0.12,-4.23,*,1992,*,*,1.23E+06,
1572,J1749-4931,*,268.084,-26.111,*,*,342.522,-11.095,-0.38,-0.58,6.65,*,2012,*,*,1.20E+07,
1573,J1749-5417,*,268.264,-30.868,*,*,338.275,-13.427,-0.76,-1.18,5.54,*,2019,*,*,3.26E+07,
1574,B1745-56,*,268.301,-32.664,*,*,336.637,-14.262,-0.61,-0.96,6.28,*,1978,*,*,9.96E+06,
1575,J1749+59,*,258.923,83.189,*,*,88.59,30.894,12.84,21.45,7.97,*,2019,*,*,*,
1576,J1750+07,*,267.302,30.967,*,*,32.841,16.925,1.09,1.95,5.49,*,2016,*,*,*,
1577,J1750-2043,*,267.731,2.701,*,*,7.591,3.331,0.51,1.17,-0.25,*,2006,*,*,1.12E+07,
1578,J1750-2438,*,267.954,-1.226,*,*,4.291,1.185,0.27,0.96,-4.31,*,2002,*,*,1.05E+06,
1579,J1750-2444,*,267.816,-1.325,*,*,4.136,1.255,0.11,0.35,3.65,*,2004,*,*,5.40E+07,
1580,J1750-2536,*,267.87,-2.19,*,*,3.413,0.778,0.04,0.19,5.29,*,2013,*,*,*,
1581,J1750-28,*,267.813,-5.33,*,*,0.663,-0.737,-0.05,0.05,4.43,*,2015,*,*,3.56E+06,
1582,B1747-31,*,268.025,-8.539,*,*,357.982,-2.516,-0.19,-0.15,4.17,*,1992,*,*,7.34E+07,
1583,J1750-3503,*,268.066,-11.629,*,*,355.314,-4.082,-0.42,-0.48,2.67,*,1996,*,*,2.84E+08,
1584,J1750-3703A,*,267.994,-13.631,*,*,353.532,-5.009,-1.2,-1.55,-5.16,GC:NGC6441,2001,*,*,3.12E+08,
1585,J1750-3703B,*,267.989,-13.634,*,*,353.526,-5.006,-1.2,-1.55,-5.16,GC:NGC6441,2008,*,*,5.02E+09,
1586,J1750-3703C,*,267.993,-13.629,*,*,353.533,-5.007,-1.2,-1.55,-5.16,GC:NGC6441,2008,*,*,*,
1587,J1750-3703D,*,267.992,-13.63,*,*,353.532,-5.006,-1.2,-1.55,-5.16,GC:NGC6441,2008,*,*,1.65E+08,
1588,J1751-2516,*,268.163,-1.852,*,*,3.852,0.692,0.06,0.35,3.33,*,2002,*,*,2.37E+06,
1589,J1751-2857,*,268.142,-5.537,*,*,0.646,-1.124,-0.02,0.01,7.41,*,2005,*,*,5.53E+09,
1590,J1751-3323,*,268.208,-9.968,*,*,356.829,-3.382,-0.84,-0.79,-5.73,*,2003,*,2,9.84E+05,
1591,B1747-46,*,268.456,-23.529,*,*,345.002,-10.178,-0.13,-0.19,7.8,*,1969,*,*,9.06E+06,
1592,J1752+2359,*,267.499,47.42,*,*,49.098,23.074,1.19,2.11,6.67,*,1995,*,*,1.01E+07,
1593,J1752-2410,*,268.399,-0.744,*,*,4.93,1.039,0.22,1.07,-3.85,*,2004,*,*,4.90E+06,
1594,B1749-28,*,268.446,-4.681,*,*,1.54,-0.961,0,0.01,8.3,*,1968,*,*,1.10E+06,
1595,J1752-2821,*,268.324,-4.925,*,*,1.267,-0.976,-0.09,0.12,3.06,*,2002,*,*,2.93E+06,
1596,J1753-12,*,268.237,10.445,*,*,14.608,6.703,0.13,0.28,7.42,*,2010,RRAT,*,*,
1597,J1753-1914,*,268.482,4.181,*,*,9.251,3.412,0.17,0.47,5.63,*,2006,*,*,4.93E+08,
1598,J1753-2240,*,268.538,0.753,*,*,6.299,1.663,0.09,0.35,5.29,*,2009,*,*,1.55E+09,
1599,B1750-24,*,268.529,-1.576,*,*,4.274,0.512,0.05,0.4,3.2,*,1986,*,*,5.93E+05,
1600,J1753-38,*,268.586,-15.386,*,*,352.277,-6.368,-0.98,-1.18,-0.23,*,2010,RRAT,*,*,
1601,J1754+0032,*,268.595,24.042,*,*,26.93,12.844,0.89,1.78,5.01,*,2019,*,*,*,
1602,J1754-2422,*,268.772,-0.94,*,*,4.947,0.618,0.12,0.96,-2.56,*,2010,*,*,3.99E+07,
1603,J1754-3014,*,268.804,-6.817,*,*,359.862,-2.332,-0.1,-0.01,5.98,*,2006,RRAT,*,4.72E+06,
1604,J1754-3443,*,268.873,-11.298,*,*,355.994,-4.607,-0.57,-0.49,1.44,*,2004,*,*,1.00E+07,
1605,J1754-3510,*,268.938,-11.744,*,*,355.635,-4.882,-0.22,-0.19,5.95,*,2006,*,*,7.96E+06,
1606,B1753+52,0.16,266.559,75.443,*,*,79.608,29.628,3.09,5.34,7.52,*,1985,*,*,2.42E+07,
1607,J1755-0903,*,268.77,14.37,*,*,18.324,8.15,0.03,0.07,8.28,*,2012,*,*,3.87E+06,
1608,J1755-1650,*,268.842,6.59,*,*,11.527,4.291,0.35,0.92,3.99,*,2006,*,*,1.69E+07,
1609,J1755-2025,*,268.967,3.019,*,*,8.48,2.416,0.67,2.35,-7.28,*,2009,*,*,1.15E+06,
1610,J1755-2521,*,269.095,-1.921,*,*,4.255,-0.15,-0.01,0.26,5.07,*,2002,*,*,2.07E+05,
1611,J1755-25211,*,268.943,-1.918,*,*,4.183,-0.016,0,0.37,3.46,*,2004,*,*,5.10E+05,
1612,J1755-2534,*,269.059,-2.142,*,*,4.047,-0.229,-0.02,0.31,4.11,*,2004,*,*,3.30E+05,
1613,J1755-2550,*,269.018,-2.404,*,*,3.799,-0.323,-0.03,0.32,3.62,*,2015,*,*,2.05E+06,
1614,J1755-26,*,268.936,-2.565,*,*,3.618,-0.333,-0.02,0.25,4.56,*,2015,*,*,5.56E+05,
1615,J1755-2725,*,269.043,-3.993,*,*,2.432,-1.135,-0.05,0.11,5.8,*,2002,*,*,3.02E+08,
1616,J1755-33,*,268.984,-10.082,*,*,357.109,-4.102,-1.01,-0.71,-5.53,*,2013,*,*,*,
1617,J1755-3716,*,269.097,-13.834,*,*,353.882,-6.041,-0.86,-0.87,0.41,*,2014,*,*,6.52E+09,
1618,J1756+1822,*,268.82,41.818,*,*,43.836,20.185,8.63,16.25,-8.43,*,2003,*,*,2.30E+07,
1619,J1756-2225,*,269.174,1.007,*,*,6.835,1.237,0.1,0.57,3.76,*,2004,*,*,1.22E+05,
1620,J1756-2251,1.05,269.258,0.571,*,*,6.499,0.948,0.01,0.08,7.77,*,2004,*,*,4.43E+08,
1621,B1753-24,*,269.31,-1.155,*,*,5.027,0.044,0,0.34,4.68,*,1986,*,*,3.73E+07,
1622,J1756-25,*,269.255,-2.03,*,*,4.241,-0.342,-0.03,0.35,3.74,*,2015,*,*,*,
1623,J1756-2619,*,269.399,-2.881,*,*,3.574,-0.891,-0.08,0.32,3.4,*,2009,*,*,9.27E+06,
1624,J1757-1500,*,269.32,8.43,*,*,13.367,4.785,0.35,0.97,4.41,*,2012,*,*,1.89E+06,
1625,J1757-16,*,269.376,7.005,*,*,12.151,4.034,0.24,0.71,5.21,*,2004,*,*,*,
1626,J1757-1854,*,269.303,4.537,*,*,9.966,2.877,0.98,3.38,-10.74,*,2018,*,*,1.29E+08,
1627,J1757-2223,*,269.502,1.041,*,*,7.029,0.97,0.06,0.46,4.8,*,2002,*,*,3.75E+06,
1628,B1754-24,*,269.428,-0.931,-17,*,5.281,0.054,0,0.29,5.39,GRS:[sbc+19],1974,HE[sbc+19],1,2.85E+05,
1629,J1757-27,*,269.537,-4.312,*,*,2.4,-1.721,-0.24,0.34,0.38,*,2015,*,*,1.33E+09,
1630,J1757-5322,*,269.527,-29.936,*,*,339.637,-13.98,-0.23,-0.32,7.64,*,2001,*,*,5.34E+09,
1631,J1758-1931,*,269.55,3.91,*,*,9.544,2.353,0.19,0.75,4.03,*,2004,*,*,6.49E+05,
1632,J1758-2206,*,269.708,1.326,*,*,7.378,0.933,0.25,1.93,-6.43,*,2002,*,*,7.13E+06,
1633,J1758-2540,*,269.669,-2.241,*,*,4.263,-0.807,-0.05,0.25,5.1,*,2002,*,*,2.15E+07,
1634,J1758-2630,*,269.68,-3.064,*,*,3.555,-1.225,-0.09,0.27,4.16,*,2002,*,*,3.69E+06,
1635,J1758-2846,*,269.616,-5.329,*,*,1.556,-2.294,-0.08,0.05,6.49,*,2006,*,*,1.29E+08,
1636,J1758+3030,*,269.426,53.945,*,*,56.265,24.032,1.34,2.49,6.84,*,1996,*,*,2.08E+07,
1637,J1759-1029,*,269.892,12.94,*,*,17.596,6.504,0.25,0.67,6.38,*,2012,*,*,2.53E+06,
1638,J1759-1736,*,269.873,5.836,*,*,11.378,3.028,0.26,0.97,3.68,*,2006,*,*,4.96E+07,
1639,J1759-1903,*,269.928,4.384,*,*,10.142,2.26,0.86,3.84,-12.95,*,2004,*,*,3.78E+06,
