#,NAME,PX,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,ZZ,XX,YY,ASSOC,DISC.,PSR,NGLT,AGE,
,,(mas),(deg),(deg),(mas/yr),(mas/yr),(deg),(deg),(kpc),(kpc),(kpc),,DATE,TYPE,,(Yr),
68,J0111-7131,*,316.305,-65.353,*,*,300.669,-45.51,-42.59,-35.98,-12.84,EXGAL:SMC,2006,*,*,1.54E+06,
69,J0113-7220,*,314.637,-65.802,*,*,300.615,-44.688,-41.98,-36.53,-13.12,EXGAL:SMC,2001,*,*,1.06E+06,
70,J0115+63,*,49.083,49.701,*,*,125.633,0.655,0.02,1.57,9.62,*,2019,*,*,*,
71,B0114+58,*,45.903,46.124,7,17,126.283,-3.457,-0.11,1.42,9.55,XRS:[pb15],1985,*,*,2.75E+05,
72,J0122+14,*,24.276,5.226,*,*,134.023,-47.946,-1.18,0.77,9.24,*,2017,*,*,*,
73,J0125-23,*,9.777,-29.849,*,*,189.069,-81.541,-0.91,-0.02,8.63,*,2019,*,*,*,
74,J0125+62,*,49.854,48.357,*,*,126.899,-0.022,0,1.92,9.94,*,2014,*,*,*,
75,J0131-7310,*,313.872,-67.36,*,*,298.944,-43.648,-41.21,-37.8,-12.41,EXGAL:SMC,2006,*,*,3.13E+06,
76,J0133-6957,*,321.647,-66.352,*,*,297.691,-46.739,-1.78,-1.48,7.72,*,1998,*,*,6.12E+07,
77,J0134-2937,*,8.735,-36.285,*,*,230.251,-80.25,-24.64,-3.26,11.21,*,1996,*,*,2.77E+07,
78,J0137+1654,*,28.721,6.314,*,*,138.449,-44.571,-2.15,1.45,10.13,*,2005,*,*,5.37E+08,
79,J0137+6349,*,52.483,48.693,*,*,127.955,1.402,0.22,7.17,14.1,*,2014,*,*,1.19E+07,
80,J0139+33,*,35.739,21.59,*,*,134.391,-28.172,-0.69,0.93,9.41,*,2018,RRAT[scb+19],*,*,
81,J0139+5621,*,47.34,42.146,*,*,129.609,-5.885,-0.25,1.85,10.03,*,2014,*,*,3.56E+05,
82,B0136+57,0.37,48.559,43.804,*,*,129.216,-4.044,-0.18,2.01,10.14,*,1978,*,*,4.03E+05,
83,B0138+59,*,50.281,45.307,7,*,129.147,-2.105,-0.08,1.78,9.95,*,1972,*,*,4.95E+07,
84,J0141+63,*,52.45,47.882,*,*,128.497,0.798,0.12,6.86,13.96,*,2014,*,*,*,
85,J0146+31,*,36.002,18.729,*,*,136.532,-30.353,-0.92,1.09,9.65,*,2016,*,*,*,
86,J0146+6145,*,52.158,46.38,*,*,129.384,-0.431,-0.03,2.78,10.78,XRS:4U_0142+61,1994,AXP&NRAD,3,6.91E+04,
87,B0144+59,0.47,50.652,44.238,*,*,130.059,-2.723,-0.1,1.63,9.87,*,1985,*,1,1.21E+07,
88,B0148-06,0.23,23.399,-16.844,*,*,160.368,-65.004,-22.66,3.55,18.45,*,1978,*,*,5.24E+07,
89,J0152+0948,*,29.587,-1.628,*,*,146.812,-50.221,-1.91,0.87,9.83,*,2005,*,*,2.56E+07,
90,B0149-16,0.46,19.501,-26.219,*,*,179.306,-72.457,-0.88,0,8.78,*,1978,*,*,1.02E+07,
91,J0154+1833,*,33.168,6.389,*,*,143.185,-41.81,-1.08,0.72,9.47,*,2019,*,*,1.28E+10,
92,J0156+04,*,28.401,-7.346,*,*,151.975,-55.155,-20.52,6.71,21.11,*,2016,RRAT[dsm+16],*,*,
93,B0153+39,*,41.781,26.003,*,*,136.369,-21.332,-1.79,3.16,11.82,*,1985,*,*,1.89E+08,
94,B0154+61,0.56,54.169,46.09,*,*,130.586,0.326,0.01,1.36,9.66,*,1972,*,1,1.97E+05,
95,J0158+21,*,34.935,8.477,*,*,143.208,-39.084,-0.99,0.73,9.48,*,2013,*,*,*,
96,J0201+7005,*,61.11,52.564,*,*,128.889,8.033,0.16,0.9,9.23,*,2015,RRAT,*,3.88E+06,
97,J0205+6449,*,57.204,47.918,*,*,130.719,3.084,0.17,2.42,10.58,SNR:PWN:3C58&GRS:2FGL_J0205.8+6448[naa+1,2002,HE,2,5.37E+03,
98,B0203-40,*,9.332,-48.904,*,*,258.595,-69.633,-1.18,-0.43,8.59,*,1978,*,*,8.35E+06,
99,J0210+58,*,53.854,42.263,*,*,133.113,-2.557,-0.09,1.42,9.83,*,2019,*,*,*,
100,J0211-8159,*,289.81,-69.836,*,*,299.592,-34.606,-0.86,-1.09,7.88,*,1998,*,*,5.89E+07,
101,J0212+5222,*,50.608,36.42,*,*,135.331,-8.52,-0.23,1.08,9.6,*,2013,*,*,9.04E+05,
102,J0214+5222,*,50.961,36.289,*,*,135.632,-8.423,-0.17,0.8,9.32,*,2014,*,*,1.30E+09,
103,J0215+6218,*,56.877,45.16,*,*,132.575,1.03,0.04,1.47,9.85,*,1998,*,*,1.31E+07,
104,J0218+4232,0.16,47.049,27.012,*,*,139.508,-17.527,-0.95,1.95,10.78,GRS:2FGL_J0218.1+4233[naa+12],1995,HE[khvb98&aaa+09f],*,4.76E+08,
105,J0220+36,*,45.169,21.06,*,*,142.376,-23.107,-0.88,1.26,10.14,*,2016,*,*,*,
106,J0229+20,*,41.653,5.935,*,*,151.579,-36.417,-1.24,0.8,9.98,*,2013,*,*,*,
107,B0226+70,*,64.842,51.529,*,*,131.155,9.181,0.28,1.31,9.64,*,1985,*,*,7.47E+06,
108,J0241+16,*,43,0.342,*,*,157.964,-39.185,-0.59,0.27,9.18,*,2013,*,*,*,
109,J0242+62,*,61.136,44.367,*,*,135.187,2.751,0.01,0.15,8.66,*,2008,*,*,*,
110,J0243+6027,*,59.779,42.074,*,*,136.271,0.5,0.02,1.88,10.47,*,2008,*,*,*,
111,J0244+14,*,43.223,-1.424,*,*,159.914,-40.14,-1.81,0.74,10.51,*,2013,*,*,*,
112,J0248+6021,*,60.537,41.728,*,*,136.903,0.697,0.02,1.37,9.96,GRS:2FGL_J0248.1+6021[naa+12],2011,HE[tpc+11],*,6.24E+04,
113,J0250+5854,*,60.09,40.286,*,*,137.767,-0.505,-0.01,1.05,9.66,*,2018,*,*,1.37E+07,
114,J0251+26,*,48.098,9.249,*,*,153.912,-29.492,-0.57,0.44,9.4,GRS:3FGL_J0251.1+2603[cck+16],2016,HE,*,*,
115,B0254-53,*,8.528,-64.079,*,*,269.862,-55.31,-1.24,-0.86,8.5,*,1969,*,*,2.27E+08,
116,J0302+22,*,49.653,5.393,*,*,158.453,-30.85,-0.52,0.32,9.31,*,2016,*,*,*,
117,B0301+19,*,49.2,2.104,*,*,161.135,-33.27,-0.41,0.2,9.09,*,1973,*,*,1.70E+07,
118,J0305+11,*,47.073,-5.781,*,*,167.463,-39.662,-1.17,0.31,9.88,*,2019,*,*,*,
119,J0308+74,*,71.667,53.298,*,*,132.09,13.608,0.09,0.27,8.75,GRS:2FGL_J0308.3+7442[naa+12],2011,HE,*,*,
120,J0317+13,*,50.661,-4.595,*,*,168.763,-36.04,-0.22,0.06,8.79,*,2018,*,*,*,
121,J0319+13,*,51.09,-4.502,*,*,168.962,-35.633,-0.17,0.05,8.74,*,2018,RRAT[ttm+18],*,*,
122,B0320+39,1.05,58.804,20.453,*,*,152.18,-14.338,-0.24,0.43,9.32,*,1978,*,*,7.56E+07,
123,J0324+5239,*,63.146,32.773,*,*,145.094,-3.48,-0.14,1.31,10.37,*,2013,*,*,1.40E+07,
124,J0325+6744,*,69.664,47.026,*,*,136.715,9.089,0.3,1.31,9.89,*,2014,*,*,1.39E+07,
125,J0329+1654,*,54.151,-1.969,*,*,168.499,-31.683,-1.34,0.43,10.63,*,2005,*,*,6.58E+07,
126,B0329+54,0.59,65.19,34.26,*,*,144.995,-1.221,-0.04,0.97,9.89,*,1968,*,*,5.53E+06,
127,J0332+79,*,77.976,57.275,*,*,130.309,18.683,0.34,0.76,9.14,*,2015,RRAT,*,*,
128,B0331+45,0.41,62.857,25.843,*,*,150.348,-8.038,-0.34,1.19,10.6,*,1985,*,*,5.80E+08,
